transition,feature,value,count,proportion,base_proportion,lift_vs_final_cohort
not_churned -> not_churned,country_code,BR,179,0.03381186248583302,0.03306666666666667,1.022536163886079
not_churned -> not_churned,country_code,IT,170,0.032111824707215714,0.029533333333333335,1.087307834330103
not_churned -> not_churned,country_code,AE,159,0.030034000755572346,0.018133333333333335,1.6562868063734748
not_churned -> not_churned,country_code,ES,157,0.02965621458254628,0.028466666666666668,1.0417873975133354
not_churned -> not_churned,country_code,CA,155,0.02927842840952021,0.027133333333333332,1.0790575580904256
not_churned -> vol_churn,country_code,US,175,0.20933014354066987,0.1834,1.1413857335914388
not_churned -> vol_churn,country_code,DE,155,0.1854066985645933,0.057866666666666663,3.2040328092959673
not_churned -> vol_churn,country_code,CA,63,0.07535885167464115,0.027133333333333332,2.7773532558221556
not_churned -> vol_churn,country_code,GB,61,0.0729665071770335,0.0458,1.5931551785378493
not_churned -> vol_churn,country_code,KR,55,0.06578947368421052,0.031,2.122241086587436
not_churned -> vol_churn,country_code,ES,36,0.0430622009569378,0.028466666666666668,1.5127236870118665
not_churned -> vol_churn,country_code,FR,30,0.03588516746411483,0.03473333333333333,1.0331622110589684
not_churned -> vol_churn,country_code,IT,28,0.03349282296650718,0.029533333333333335,1.1340684977372633
not_churned -> vol_churn,country_code,AU,28,0.03349282296650718,0.015866666666666668,2.110892203771461
not_churned -> vol_churn,country_code,JP,23,0.02751196172248804,0.016533333333333334,1.6640299428924217
vol_churn -> invol_churn,country_code,IN,101,0.14469914040114612,0.0566,2.5565219152145957
vol_churn -> invol_churn,country_code,US,81,0.11604584527220631,0.1834,0.6327472479400562
vol_churn -> invol_churn,country_code,UA,44,0.06303724928366762,0.0256,2.4623925501432664
vol_churn -> invol_churn,country_code,BR,43,0.06160458452722063,0.03306666666666667,1.863041870782882
vol_churn -> invol_churn,country_code,KZ,40,0.05730659025787966,0.023733333333333332,2.4146035221016713
vol_churn -> invol_churn,country_code,TR,30,0.04297994269340974,0.024666666666666667,1.7424301091922867
vol_churn -> invol_churn,country_code,PL,20,0.02865329512893983,0.021933333333333332,1.3063812368817551
vol_churn -> invol_churn,country_code,FR,19,0.027220630372492838,0.03473333333333333,0.7837033696495059
vol_churn -> invol_churn,country_code,JP,17,0.024355300859598854,0.016533333333333334,1.4731028745725112
vol_churn -> invol_churn,country_code,RO,16,0.022922636103151862,0.008266666666666667,2.77289952860708
vol_churn -> not_churned,country_code,US,513,0.21709691070672874,0.1834,1.183734518575402
vol_churn -> not_churned,country_code,GB,165,0.06982649174777825,0.0458,1.5245958896894813
vol_churn -> not_churned,country_code,DE,160,0.06771053745239103,0.057866666666666663,1.170112974407679
vol_churn -> not_churned,country_code,KR,109,0.04612780363944139,0.031,1.487993665788432
vol_churn -> not_churned,country_code,FR,106,0.044858231062209056,0.03473333333333333,1.291503773384138
vol_churn -> not_churned,country_code,CA,96,0.04062632247143462,0.027133333333333332,1.497284611969335
vol_churn -> not_churned,country_code,ES,93,0.039356749894202285,0.028466666666666668,1.3825556168923518
vol_churn -> not_churned,country_code,IT,91,0.038510368176047395,0.029533333333333335,1.303962805058038
vol_churn -> not_churned,country_code,BR,66,0.0279305966991113,0.03306666666666667,0.8446753034005433
vol_churn -> not_churned,country_code,AU,62,0.026237833262801522,0.015866666666666668,1.653644953537911
vol_churn -> vol_churn,country_code,DE,157,0.2101740294511379,0.057866666666666663,3.632039679455148
vol_churn -> vol_churn,country_code,US,106,0.14190093708165996,0.1834,0.7737237572609594
vol_churn -> vol_churn,country_code,JP,89,0.11914323962516733,0.016533333333333334,7.206244332167379
vol_churn -> vol_churn,country_code,GB,41,0.05488621151271754,0.0458,1.1983888976575883
vol_churn -> vol_churn,country_code,KR,41,0.05488621151271754,0.031,1.7705229520231465
vol_churn -> vol_churn,country_code,IT,40,0.0535475234270415,0.029533333333333335,1.8131215607350393
vol_churn -> vol_churn,country_code,CA,38,0.050870147255689425,0.027133333333333332,1.8748211519295859
vol_churn -> vol_churn,country_code,FR,30,0.040160642570281124,0.03473333333333333,1.1562565039428347
vol_churn -> vol_churn,country_code,ES,26,0.03480589022757698,0.028466666666666668,1.2226893522568025
vol_churn -> vol_churn,country_code,AU,20,0.02677376171352075,0.015866666666666668,1.6874219567345008
invol_churn -> invol_churn,subscription_plan,Higgsfield Ultimate,1015,0.5555555555555556,0.5321333333333333,1.044015701996158
invol_churn -> invol_churn,subscription_plan,Higgsfield Basic,459,0.2512315270935961,0.28086666666666665,0.8944868042734254
invol_churn -> invol_churn,subscription_plan,Higgsfield Creator,224,0.12260536398467432,0.1178,1.0407925635371336
invol_churn -> invol_churn,subscription_plan,Higgsfield Pro,129,0.07060755336617405,0.0692,1.020340366563209
invol_churn -> not_churned,subscription_plan,Higgsfield Ultimate,678,0.48394004282655245,0.5321333333333333,0.9094338063641051
invol_churn -> not_churned,subscription_plan,Higgsfield Basic,502,0.35831548893647397,0.28086666666666665,1.2757494265480915
invol_churn -> not_churned,subscription_plan,Higgsfield Creator,136,0.09707351891506068,0.1178,0.8240536410446577
invol_churn -> not_churned,subscription_plan,Higgsfield Pro,85,0.06067094932191292,0.0692,0.876747822570996
invol_churn -> vol_churn,subscription_plan,Higgsfield Ultimate,202,0.599406528189911,0.5321333333333333,1.1264216891566856
invol_churn -> vol_churn,subscription_plan,Higgsfield Creator,72,0.21364985163204747,0.1178,1.8136659731073639
invol_churn -> vol_churn,subscription_plan,Higgsfield Pro,34,0.10089020771513353,0.0692,1.457950978542392
invol_churn -> vol_churn,subscription_plan,Higgsfield Basic,29,0.08605341246290801,0.28086666666666665,0.3063852805467886
not_churned -> invol_churn,subscription_plan,Higgsfield Ultimate,864,0.5771543086172345,0.5321333333333333,1.0846046892080328
not_churned -> invol_churn,subscription_plan,Higgsfield Basic,373,0.24916499665998665,0.28086666666666665,0.8871291122477569
not_churned -> invol_churn,subscription_plan,Higgsfield Creator,188,0.12558450233800936,0.1178,1.0660823628014378
not_churned -> invol_churn,subscription_plan,Higgsfield Pro,72,0.04809619238476954,0.0692,0.6950316818608315
not_churned -> not_churned,subscription_plan,Higgsfield Ultimate,2570,0.4854552323384964,0.5321333333333333,0.91228119331965
not_churned -> not_churned,subscription_plan,Higgsfield Basic,1698,0.3207404608991311,0.28086666666666665,1.1419669863486748
